RB,Naziv portfelja,Dionice,"Portfelj
kreiran",Prinos,"Prinos
bez div.","Prinos iznad 
OTP
indeksnog fonda",Opaska
263.,Fender00,"(2) ADPL-R-A,ADRS-P-A,ATPL-R-A,DDJH-R-A,HMST-R-A,VDKT-R-A",02.01. 11:40,-21.71%,"-23,41%","-23,22%",
264.,vidra74,"(1) ADRS-P-A,ATPL-R-A,DDJH-R-A,RIVP-R-A",05.01. 12:45,-21.82%,"-24,50%","-23,01%",
265.,Repro,"(1) ATPL-R-A,JDPL-R-A,PODR-R-A,ULPL-R-A,ZVZD-R-A",25.01. 18:30,-22.56%,"-22,56%","-22,08%",
266.,Nenky,"(1) ATPL-R-A,LKRI-R-A,VART-R-1,ZABA-R-A",24.01. 21:06,-23.22%,"-25,43%","-22,75%","Tržište je vrlo jednostavno. Jedan trgovac kupuje, drugi prodaje i oboje misle kako su nevjeratno pametni."
267.,Hazard portfelj,"(0) ADPL-R-A,ATPL-R-A,BLJE-R-A,DLKV-R-A,THNK-R-A,VART-R-1",20.01. 09:29,-23.65%,"-23,65%","-22,02%",
268.,Mikulandra,"(0) BLJE-R-A,DDJH-R-A,DLKV-R-A",15.01. 22:02,-24.32%,"-24,32%","-23,59%",
269.,Crumarix,"(1) KSST-R-A,RIZO-R-A,VART-R-1",30.12. 00:10,-24.37%,"-24,37%","-26,58%",
270.,Hrposejdon,"(0) ATPL-R-A,BLJE-R-A,PODR-R-A,THNK-R-A",04.01. 22:02,-24.40%,"-24,40%","-25,91%",
271.,Argonaut,"(10) ATPL-R-A,DLKV-R-A,PBZ-R-A,ZABA-R-A",31.12. 15:03,-24.64%,"-24,98%","-27,26%",
272.,daisy,"(1) ATPL-R-A,BLJE-R-A,ERNT-R-A,JDPL-R-A,MAIS-R-A",06.01. 00:16,-24.84%,"-26,17%","-26,02%",
273.,davy,"(1) ADPL-R-A,ATPL-R-A,ERNT-R-A,HT-R-A,JDPL-R-A,OPTE-R-A",22.01. 10:24,-24.97%,"-26,66%","-24,59%",
274.,if555,"(1) DLKV-R-A,INGR-R-A,JDPL-R-A,RIVP-R-A",16.01. 10:45,-26.02%,"-26,69%","-24,88%",
275.,miha1,"(0) KSST-R-A,PLAG-R-A,VPIK-R-A,ZVZD-R-A",12.01. 22:47,-26.37%,"-26,37%","-26,02%",
276.,tatinja,"(0) ATGR-R-A,BLJE-R-A,DDJH-R-A",22.01. 11:53,-27.05%,"-27,48%","-26,67%",
277.,obiwan,"(0) BLJE-R-A,DDJH-R-A,DLKV-R-A",20.01. 13:34,-27.15%,"-27,15%","-25,52%",Malo nategnuto... :)
278.,sime,"(1) DDJH-R-A,OPTE-R-A,RIZO-R-A",02.01. 20:40,-27.39%,"-27,39%","-28,90%",
279.,GARFIELDED,"(0) ATGR-R-A,ATPL-R-A,ERNT-R-A",21.01. 21:25,-27.63%,"-30,37%","-26,70%",
280.,Vendo21,"(1) BLJE-R-A,DDJH-R-A,DLKV-R-A",25.01. 11:43,-29.01%,"-29,01%","-28,54%",
281.,napokon,"(2) ATPL-R-A,DDJH-R-A,DLKV-R-A,IMZV-R-A,IPKK-R-A,PTKM-R-A",16.01. 22:57,-29.26%,"-29,26%","-28,12%",došlo je i mojih 5 minuta!
282.,kmiklose,"(0) ATPL-R-A,BLJE-R-A,HT-R-A",08.01. 10:54,-30.14%,"-31,65%","-30,43%",
283.,cinik,"(0) ATGR-R-A,ATPL-R-A,JDPL-R-A,RIVP-R-A",07.01. 20:00,-30.64%,"-31,65%","-30,94%",
284.,player576,"(1) ATPL-R-A,DDJH-R-A,DLKV-R-A,IMZV-R-A,LKRI-R-A",22.01. 18:54,-31.19%,"-31,19%","-30,81%",
285.,jasko,"(3) ATPL-R-A,BLJE-R-A,DLKV-R-A,INGR-R-A,LKRI-R-A,ZVZD-R-A",02.01. 12:02,-31.40%,"-31,40%","-32,91%",
286.,Nenx,"(1) ATPL-R-A,HMST-R-A,JDPL-R-A,LKRI-R-A,VART-R-1,ZABA-R-A",25.01. 18:54,-31.54%,"-32,90%","-31,07%",
287.,sasko,"(0) BLJE-R-A,DDJH-R-A,VART-R-1",20.01. 18:40,-31.61%,"-31,61%","-29,98%",
288.,zimzelen,"(4) AUHR-R-A,CKML-R-A,KOEI-R-A",13.01. 02:35,-32.09%,"-32,32%","-31,12%",
289.,koom1,"(5) ATGR-R-A,ATPL-R-A,BETA-R-A,DELT-R-A,GAMA-R-A,HIMR-R-A,SNHA-R-A",05.01. 16:39,-32.93%,"-33,02%","-34,12%",
290.,Promatrač,"(1) KSST-R-A,VART-R-1,VPIK-R-A",30.12. 20:35,-33.11%,"-33,11%","-35,33%",
291.,tom2001,"(0) ATGR-R-A,ATPL-R-A,BLJE-R-A",08.01. 09:37,-33.33%,"-33,75%","-33,62%",
292.,no name,"(0) ATPL-R-A,BLJE-R-A,DLKV-R-A",20.01. 12:44,-34.21%,"-34,21%","-32,58%",svašta nešto
293.,ejpox,"(1) IPKK-R-A,RIZO-R-A,SNBA-R-A",07.01. 22:34,-36.01%,"-36,01%","-36,32%",
294.,kure,"(1) ATPL-R-A,DDJH-R-A,ERNT-R-A,IMZV-R-A",23.01. 10:47,-36.65%,"-38,08%","-36,18%",
295.,miško,"(0) ATPL-R-A,BLJE-R-A,DLKV-R-A,KSST-R-A",08.01. 14:35,-37.83%,"-37,83%","-38,13%",
296.,charlie79,"(1) INGR-R-A,THNK-R-A,VART-R-1",31.12. 13:10,-39.34%,"-39,34%","-41,96%",
297.,rajbos,"(1) ATPL-R-A,OPTE-R-A,PTKM-R-A",03.01. 16:55,-39.83%,"-39,83%","-41,34%",
298.,virus,"(1) DDJH-R-A,DLKV-R-A,IMZV-R-A",24.01. 12:52,-41.19%,"-41,19%","-40,71%",
299.,andja2208,"(0) ATPL-R-A,BLJE-R-A,VPIK-R-A",22.01. 16:25,-41.45%,"-41,45%","-41,07%",
300.,schalke04,"(0) ATPL-R-A,DDJH-R-A,DLKV-R-A,JDPL-R-A",23.01. 10:37,-45.67%,"-45,67%","-45,19%",to je to
301.,shabaneli,"(0) DDJH-R-A,JDPL-R-A,VART-R-1",20.01. 15:07,-46.45%,"-46,45%","-44,82%",
302.,PRISMATIC,"(0) ATPL-R-A,HT-R-A,JDPL-R-A",25.01. 23:55,-47.00%,"-48,47%","-46,53%",
303.,K-PAX,"(0) ATPL-R-A,BLJE-R-A,JDPL-R-A,THNK-R-A",30.12. 12:04,-47.36%,"-47,36%","-49,58%",
304.,Insajder,"(1) ATPL-R-A,IMZV-R-A,JDPL-R-A",02.01. 12:43,-48.08%,"-48,08%","-49,59%",Odmah u minus
